date,weight
2021-09-08,66.95
2021-09-14,67.2
2021-09-19,66.97
2021-09-25,66.31
2021-10-02,65.57
2021-10-09,65.58
2021-10-16,66.17
2021-10-23,66.08
2021-10-31,65.77
2021-11-06,66.85
2021-11-13,66.37
2021-11-20,66.78
2021-11-27,66.55
2021-12-04,66.57
2021-12-11,66.78
2021-12-18,67.07
2022-01-08,67.36
2022-01-15,66.75
2022-01-22,66.53
2022-02-05,65.55
2022-02-12,65.87
2022-02-20,65.65
2022-02-28,65.57
2022-03-06,66.15
2022-03-13,66.13
2022-03-19,65.78
2022-03-27,65.67
2022-04-03,64.01
2022-04-08,63.9
2022-04-16,65
2022-04-24,64.83
2022-04-30,64.32
2022-05-14,64.63
2022-06-18,62.8
2022-06-25,62.61
2022-08-13,67.32
2022-08-20,67.6
2022-08-27,68.49
2022-09-10,67.52
2022-09-17,66.72
2022-09-24,66.17
2022-10-01,67.03
2022-11-05,66.53
2022-11-12,65.65
2022-11-19,65.45
2022-11-26,65.68
2022-12-24,66.99
2022-12-31,68.03
2023-01-07,66.96
2023-01-14,67.33
2023-01-21,66.53
2023-01-28,66.95
2023-02-04,67.6
2023-02-11,67.07
2023-03-11,67.42
2023-03-18,67.2
2023-04-01,68.3
2023-04-08,67.02
2023-04-15,68.22
2023-04-22,66.7
2023-04-29,67.25
2023-05-06,67.17
2023-05-13,67.4
2023-05-21,67.05
2023-05-28,67.1
2023-06-03,67.45
2023-06-10,68.2
2023-06-17,67.65
2023-06-24,67.25
2023-07-01,68.54
2023-07-08,67.75
2023-07-15,67.1
2023-07-22,68.3
2023-07-29,66.8
2023-08-05,65.9
2023-08-12,65.75
2023-08-22,66.05
2023-08-26,66.4
2023-09-02,66.05
2023-09-09,66.25
2023-09-18,65.55
2023-09-23,66.3
2023-09-30,66.35
2023-10-07,66.9
2023-10-14,66.86
2023-10-22,67.7
2023-10-28,67.59
2023-11-04,68.2
2023-11-11,67.95
2023-11-19,67.93
2023-11-26,68.3
2023-12-02,68.45
2023-12-09,68.89
2023-12-16,68.15
2023-12-23,67.7
2024-01-06,69.65
2024-01-13,68.54
2024-01-20,68.15
2024-01-27,67.98
2024-02-03,68.5
2024-02-10,67.9
2024-02-17,68.4
2024-02-25,69.2
2024-03-03,68.9
2024-03-09,69.31
2024-03-16,68.55
2024-03-23,68.6
2024-03-30,68.75
2024-04-13,69.2
2024-04-20,69.15
2024-04-27,68.6
2024-05-04,68.5
2024-05-11,69.45
2024-05-18,68.95
2024-05-25,69
2024-06-01,69.48
2024-06-08,68.4
2024-06-15,69.23
2024-06-22,68
2024-06-29,67.65
2024-07-06,68.8
2024-07-13,69.09
2024-07-20,69.93
2024-07-27,68.65
2024-08-03,69.55
2024-08-10,69.2
2024-08-18,69.95
2024-08-24,69.5
2024-08-31,69.35
2024-09-07,69.7
2024-09-14,68.95
2024-09-21,69.3
2024-09-28,69.7
2024-10-05,70.25
2024-10-12,68.6
2024-10-19,67.8
2024-10-26,69.08
2024-11-02,67.65
2024-11-09,66.75
2024-11-16,66.48
2024-11-23,66.65
2024-11-30,65.45
2024-12-07,64.95
2024-12-14,64.85
2024-12-21,64.8
2025-01-04,67.6
2025-01-11,67.75
2025-01-18,66.55
2025-01-25,67.25
2025-02-01,66.25
2025-02-08,67.05
2025-02-15,66.05
2025-02-22,66.25
2025-03-01,66.05